brand, product_name, shipping
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XTAORUS-8GD Video Card,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,$6.99 Shipping
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING Video Card,Free Shipping
XFX,XFX Radeon RX 5600 XT DirectX 12 RX-56XT6DFD6 Video Card,$3.99 Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card| PCIe 3.0| 8GB 256-Bit GDDR5| GV-RX580GAMING-8GD REV2.0 Video Card,Free Shipping
XFX,XFX Radeon RX 5600 XT DirectX 12 RX-56XT6TBD8 Video Card,$3.99 Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,$3.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR,$3.99 Shipping
ASRock,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G Video Card,Free Shipping
